위도,경도
35.87410033,128.6461281
35.8371124,128.7168768
35.82882505,128.6098286
35.83996389,128.6184089
35.84069424,128.6180776
35.82608451,128.6259563
35.85442965,128.6556238
35.81049691,128.618411
35.82015421,128.6349693
35.85026823,128.6245846
35.8545423,128.6390698
35.84158394,128.700436
35.84732948,128.6100618
35.85922727,128.6316111
35.82552904,128.6097294
35.8359295,128.7190532
35.85678974,128.6492836
35.87587568,128.6446309
35.83986702,128.7088608
35.87782954,128.6494058
35.86891,128.5464
35.86661,128.5286
35.88284,128.5728
35.86891,128.5464
35.8886,128.569
35.87849,128.5374
35.87849,128.5374
35.87849,128.5374
35.87016,128.5384
35.86448,128.5379
35.87849,128.5374
35.87849,128.5374
35.8639,128.5371
35.88875,128.5596
35.87849,128.5374
35.88875,128.5596
35.87849,128.5374
35.87849,128.5374
35.87849,128.5374
35.85819,128.5581
35.88875,128.5596
35.88875,128.5596
35.88875,128.5596
35.88231,128.578
35.86858,128.5444
35.86299,128.5491
35.88987,128.5465
35.86299,128.5491
35.86891,128.5464
35.86299,128.5491
35.86225,128.5721
35.88875,128.5596
35.87849,128.5374
35.86891,128.5464
35.88437,128.5345
35.86891,128.5464
35.877039,128.496445
35.798586,128.48998
35.8731,128.471924
35.7673,128.403181
35.76457,128.402769
35.683858,128.468749
35.707099,128.436594
35.804358,128.623244
35.727029,128.436227
35.665882,128.430967
35.808225,128.486864
35.770547,128.413129
35.772667,128.64724
35.72889,128.432557
35.765308,128.405803
35.772869,128.419158
35.787896,128.458298
35.871018,128.496484
35.862216,128.461617
35.731257,128.428501
35.711736,128.442885
35.687683,128.431704
35.66531,128.429628
35.749019,128.406328
35.640228,128.423839
35.78009,128.431518
35.868433,128.493811
35.635221,128.442318
35.87708,128.472933
35.877708,128.47822
35.687683,128.431704
35.784393,128.475922
35.87335,128.48816
35.796456,128.486327
35.787704,128.461262
35.789569,128.468397
35.865384,128.426445
35.795142,128.627564
35.758583,128.492764
35.797552,128.482827
35.809206,128.480718
35.668367,128.441596
35.732293,128.665893
35.803276,128.489412
35.720255,128.452107
35.690519,128.444889
35.701297,128.435755
35.899737,128.440522
35.878252,128.398628
35.702017,128.438478
35.655304,128.452026
35.797953,128.624455
35.696339,128.452899
35.701706,128.439725
35.729138,128.431242
35.804679,128.494521
35.807619,128.487391
35.794177,128.481556
35.731197,128.452158
35.671821,128.446122
35.87635565,128.589522
35.87551566,128.5917085
35.87273303,128.6056521
35.87558263,128.5909227
35.87150274,128.6047568
35.85560208,128.6041375
35.85822521,128.5794226
35.86265962,128.6031947
35.8695404,128.6006668
35.8496552,128.5982679
35.85781015,128.5747408
35.84095964,128.5734009
35.845605,128.567893
35.84817639,128.56951
35.8545692,128.5902599
35.8438796,128.5865099
35.84461295,128.5963498
35.8493736,128.5804628
35.8523546,128.5911148
35.83415992,128.5616164
35.8293506,128.5621191
35.8428276,128.571828
35.8405393,128.5817038
35.84847857,128.6040912
35.85645399,128.5869241
35.80391094,128.5282729
35.8375289,128.5243528
35.81576057,128.5059067
35.8380001,128.5308964
35.837138,128.5162542
35.82314265,128.5209949
35.8140634,128.5109259
35.8083978,128.5245634
35.82930768,128.5180646
35.84952741,128.5351531
35.8153297,128.5084378
35.81337211,128.512245
35.8651333,128.5262772
35.8070209,128.5122807
