번호,소속지회,경로당명,주소,위도,경도
1325,수성구지회,만촌화성파크스위트경로당,대구광역시 수성구 화랑로34길 141 ,35.874474276,128.653331662
1326,수성구지회,만촌우방하이츠경로당,대구광역시 수성구 화랑로 26 ,35.868767816,128.632016638
1327,수성구지회,지장경로당,대구광역시 수성구 무열로 65-1 ,35.864433874,128.648875047
1328,수성구지회,만촌경로당,대구광역시 수성구 동원로6길 50-13 ,35.862193678,128.643023722
1329,수성구지회,태왕리더스경로당,대구광역시 수성구 무열로 47 ,35.862239452,128.647873732
1330,수성구지회,만촌3동 제1경로당,대구광역시 수성구 달구벌대로526안길6 ,35.856414530,128.649005822
1331,수성구지회,각계경로당,대구광역시 수성구 달구벌대로530길146 ,35.849596143,128.651045350
1332,수성구지회,두리봉경로당,대구광역시 수성구 달구벌대로530길92 ,35.852091689,128.651234066
1333,수성구지회,두봉골경로당,대구광역시 수성구 만촌동 1086-2,35.869040588,128.648002640
1334,수성구지회,산장맨션경로당,대구광역시 수성구 교학로 111 ,35.846975183,128.649763105
1335,수성구지회,만촌2차우방타운경로당,대구광역시 수성구 교학로11길 91 ,35.850609977,128.658055693
1336,수성구지회,만촌우방타운경로당,대구광역시 수성구 교학로11길 46 ,35.850278379,128.653817232
1337,수성구지회,수성2차 e편한세상경로당,대구광역시 수성구 달구벌대로522길 33 ,35.856390139,128.647434474
1338,수성구지회,우방팔레스경로당,대구광역시 수성구 청수로 551 ,35.852274593,128.658890757
1339,수성구지회,만촌3차화성파크드림경로당,대구광역시 수성구 교학로 13 ,35.853849678,128.652944594
1340,수성구지회,수성1가 제1경로당,대구광역시 수성구 수성로53길 50-4 ,35.850494235,128.610409998
1341,수성구지회,수성1가 제2경로당,대구광역시 수성구 달구벌대로456길 11 ,35.859385025,128.611365164
1342,수성구지회,신세계타운만수당경로당,대구광역시 수성구 신천동로 320 ,35.853917466,128.609574315
1343,수성구지회,오성타운경로당,대구광역시 수성구 신천동로 380 ,35.858824182,128.608731044
1344,수성구지회,태왕하이츠리버뷰경로당,대구광역시 수성구 달구벌대로454길 9 ,35.859642695,128.609700302
1345,수성구지회,수성그린타운경로당,대구광역시 수성구 달구벌대로458길 17 ,35.859333001,128.613592840
1346,수성구지회,한가람타운경로당,대구광역시 수성구 명덕로 368 ,35.854360109,128.609690585
1347,수성구지회,삼우1차수성타운경로당,대구광역시 수성구 달구벌대로456길 19 ,35.859149902,128.611864196
1348,수성구지회,수성대백인터빌경로당,대구광역시 수성구 수성로69길 14 ,35.855998409,128.613197809
1349,수성구지회,영남타워경로당,대구광역시 수성구 달구벌대로456길 43 ,35.857542571,128.611807657
1350,수성구지회,수성서한이다음경로당,대구광역시 수성구 수성로69길 15 ,35.855299201,128.612340438
1351,수성구지회,수성동양엘레브경로당,대구광역시 수성구 명덕로73길 40 ,35.856439202,128.611482162
1352,수성구지회,유성푸르나임경로당,대구광역시 수성구 수성로75길 16 ,35.857920484,128.612948173
1353,수성구지회,수성롯데캐슬더퍼스트1단지경로당,대구광역시 수성구 수성로69길 70 ,35.858284956,128.610486347
1354,수성구지회,수성롯데캐슬더퍼스트2단지경로당,대구광역시 수성구 수성로69길 65 ,35.856045677,128.609517791
1355,수성구지회,수성롯데캐슬더퍼스트3단지경로당,대구광역시 수성구 수성로69길 41 ,35.855358494,128.610911346
1356,수성구지회,한마음경로당,대구광역시 수성구 들안로52길 35-1 ,35.852666725,128.619031146
1357,수성구지회,참마음경로당,대구광역시 수성구 수성로60길 45-1 ,35.852357858,128.616031246
1358,수성구지회,열린경로당,대구광역시 수성구 명덕로 405-4 ,35.854780623,128.614517419
1359,수성구지회,수성3가롯데캐슬경로당,대구광역시 수성구 명덕로 455 ,35.854390450,128.619094769
1360,수성구지회,수성코오롱하늘채경로당,대구광역시 수성구 들안로 300 ,35.856726896,128.618615491
1361,수성구지회,롬바드아파트경로당,대구광역시 수성구 들안로 325 ,35.858949171,128.616718565
1362,수성구지회,수성4가경로당,대구광역시 수성구 범어천로 151 ,35.860249012,128.622151173
1363,수성구지회,미수경로당,대구광역시 수성구 들안로81길 29 ,35.866037581,128.616624793
1364,수성구지회,신천경로당,대구광역시 수성구 신천동로88길 1-15 ,35.862947868,128.613041298
1365,수성구지회,수성보성타운경로당,대구광역시 수성구 수성로 412 ,35.863472417,128.615062680
1366,수성구지회,수성화성쌍용타운경로당,대구광역시 수성구 수성로 411 ,35.861808104,128.613099706
1367,수성구지회,대림e-편한세상경로당,대구광역시 수성구 들안로73길 50-7 ,35.864119170,128.613716720
1368,수성구지회,우방사랑마을아파트경로당,대구광역시 수성구 달구벌대로 2317 ,35.860534791,128.616491640
1369,수성구지회,수성우방팔레스경로당,대구광역시 수성구 수성로 400 ,35.861077056,128.614681865
1370,수성구지회,범어삼환나우빌경로당,대구광역시 수성구 범어천로 197 ,35.862670292,128.620535018
1371,수성구지회,수성데시앙경로당,대구광역시 수성구 들안로 360 ,35.862823870,128.619572966
1372,수성구지회,수성롯데캐슬경로당,대구광역시 수성구 달구벌대로 2315 ,35.860113075,128.615596386
1373,수성구지회,신천지타운경로당,대구광역시 수성구 청호로46길 16 ,35.838177103,128.640785609
1374,수성구지회,황금종합복지관경로당,대구광역시 수성구 청수로45길 41 ,35.842900586,128.631169043
1375,수성구지회,캐슬골드파크3단지경로당,대구광역시 수성구 청수로 257 ,35.841338331,128.634771161
1376,수성구지회,캐슬골드파크4단지경로당,대구광역시 수성구 청수로 261 ,35.841835565,128.636533372
1377,수성구지회,캐슬골드파크5단지경로당,대구광역시 수성구 청수로 214 ,35.839717451,128.633722054
1378,수성구지회,캐슬골드파크1단지경로당,대구광역시 수성구 청수로 213 ,35.839512626,128.629514523
1379,수성구지회,황금태왕아너스경로당,대구광역시 수성구 청호로345 ,35.847915236,128.638160095
1380,수성구지회,황금힐스테이트경로당,대구광역시 수성구 청수로274 ,35.839768089,128.637550653
1381,수성구지회,수성2차우방타운경로당,대구광역시 수성구 청호로 330 ,35.845537570,128.640153950
1382,수성구지회,신천지하이츠경로당,대구광역시 수성구 청호로229 ,35.837756904,128.640229257
1383,수성구지회,황금2동 제1경로당,대구광역시 수성구 희망로36길 32 ,35.845770155,128.619359822
1384,수성구지회,황금2동 제2경로당,대구광역시 수성구 들안로40안길 7-20 ,35.847560969,128.618882992
