구,시설명,주소,위도,경도,시설종류
수성구지회,상동청구타운경로당,대구광역시 수성구 수성로19길 41,35.83360119,128.6090953,경로당
수성구지회,정화우방팔레스경로당,대구광역시 수성구 수성로135 ,35.83837138,128.6112638,경로당
수성구지회,수성동일하이빌경로당,대구광역시 수성구 수성로 71 ,35.83266053,128.6109721,경로당
수성구지회,파동 제1경로당,대구광역시 수성구 파동로38길 45-13 ,35.81873618,128.6147077,경로당
수성구지회,파동 제2경로당,대구광역시 수성구 파동로18길 56 ,35.81153829,128.6210411,경로당
수성구지회,대자연1차경로당,대구광역시 수성구 파동로 120 ,35.81529485,128.6157151,경로당
수성구지회,대자연2차경로당,대구광역시 수성구 파동로 84 ,35.81265635,128.618378,경로당
수성구지회,송원맨션경로당,대구광역시 수성구 파동로 223 ,35.82287479,128.6106592,경로당
수성구지회,동신실리안경로당,대구광역시 수성구 파동로 209 ,35.8213863,128.6115046,경로당
수성구지회,화성파크뷰경로당,대구광역시 수성구 파동로 19 ,35.8064437,128.6217937,경로당
수성구지회,청구하이츠경로당,대구광역시 수성구 파동로12길 40 ,35.80960255,128.6224181,경로당
수성구지회,파동 태왕리더스경로당,대구광역시 수성구 파동로 105 ,35.81276047,128.6164343,경로당
수성구지회,수성못코오롱하늘채경로당,대구광역시 수성구 파동로 222 ,35.82255508,128.6117226,경로당
수성구지회,남광타운경로당,대구광역시 수성구 파동로 22길 3 ,35.81378149,128.617112,경로당
수성구지회,두산경로당,대구광역시 수성구 들안로8길 68-5 ,35.8341715,128.6196691,경로당
수성구지회,두산제1경로당,대구광역시 수성구 지범로21-11 ,35.82907399,128.6248895,경로당
수성구지회,대우트럼프월드 수성경로당,대구광역시 수성구 동대구로 59 ,35.83590936,128.6230683,경로당
수성구지회,수성SK리더스뷰경로당,대구광역시 수성구 동대구로 95 ,35.8378585,128.6233589,경로당
수성구지회,지산경로당,대구광역시 수성구 지산로11길 6-19 ,35.82697774,128.6330885,경로당
수성구지회,수동경로당,대구광역시 수성구 지범로31안길 3-14 ,35.8241555,128.6403572,경로당
수성구지회,새마을경로당,대구광역시 수성구 무학로31길 23 ,35.83148854,128.6264414,경로당
수성구지회,지산무학경로당,대구광역시 수성구 청수로38길 53-11 ,35.83654063,128.6285246,경로당
수성구지회,청산맨션경로당,대구광역시 수성구 지범로21길 15 ,35.82551086,128.6353012,경로당
수성구지회,지산타운경로당,대구광역시 수성구 용학로 303 ,35.82331193,128.6408373,경로당
수성구지회,지산서한이다음아파트경로당,대구광역시 수성구 용학로 313 ,35.82356863,128.6412344,경로당
수성구지회,녹원맨션경로당,대구광역시 수성구 무학로 189 ,35.83118534,128.6296015,경로당
수성구지회,동서맨션경로당,대구광역시 수성구 지산로 56 ,35.82586796,128.6344102,경로당
수성구지회,청구타운경로당,대구광역시 수성구 지산로 48 ,35.82527502,128.634227,경로당
수성구지회,시영5단지복지관경로당,대구광역시 수성구 용학로 325 ,35.82407838,128.6424543,경로당
수성구지회,동서무학맨션경로당,대구광역시 수성구 지산로14길 83 ,35.82662901,128.6382049,경로당
수성구지회,보성맨션경로당,대구광역시 수성구 지범로21길 3 ,35.82397727,128.6357176,경로당
수성구지회,거성경로당,대구광역시 수성구 용학로48길 25-1 ,35.81915327,128.6352174,경로당
수성구지회,지산2동경로당,대구광역시 수성구 용학로33길 17-16 ,35.82371945,128.6275973,경로당
수성구지회,지산목련아파트경로당,대구광역시 수성구 용학로42길 13 ,35.82051039,128.6317254,경로당
수성구지회,호반송학경로당,대구광역시 수성구 용학로46길 40 ,35.81900579,128.6329951,경로당
수성구지회,지산우방타운경로당,대구광역시 수성구 지산로 32 ,35.82382001,128.6329405,경로당
수성구지회,현대맨션경로당,대구광역시 수성구 지범로22길 20 ,35.82092164,128.6341755,경로당
수성구지회,지산리더스경로당,대구광역시 수성구 지산로 5 ,35.82177228,128.6311241,경로당
수성구지회,한라타운경로당,대구광역시 수성구 지범로22길 9 ,35.82209497,128.6375134,경로당
수성구지회,화성맨션경로당,대구광역시 수성구 용학로35길 62 ,35.82520553,128.6302866,경로당
수성구지회,영남맨션경로당,대구광역시 수성구 지산로 31 ,35.82485521,128.6317379,경로당
수성구지회,지산에덴경로당,대구광역시 수성구 용학로 223 ,35.82114159,128.6334773,경로당
수성구지회,협화맨션경로당,대구광역시 수성구 지범로22길 23 ,35.82079827,128.6356802,경로당
수성구지회,대우로얄하이츠경로당,대구광역시 수성구 용학로36길 20 ,35.82127124,128.6274444,경로당
수성구지회,지산보성경로당,대구광역시 수성구 지범로22길 10 ,35.82259549,128.6349532,경로당
수성구지회,범물경로당,대구광역시 수성구 범안로16길 46 ,35.81618737,128.6471574,경로당
수성구지회,용지2단지복지관경로당,대구광역시 수성구 범안로 79 ,35.81981274,128.6465456,경로당
수성구지회,범물용지아파트경로당,대구광역시 수성구 범안로 77 ,35.81902326,128.6456417,경로당
수성구지회,범물하이츠경로당,대구광역시 수성구 용학로 336 ,35.82488337,128.6440554,경로당
수성구지회,보성타운경로당,대구광역시 수성구 지범로39길 56 ,35.82125399,128.6436311,경로당
수성구지회,범물보성맨션경로당,대구광역시 수성구 용학로 316 ,35.82239201,128.6424391,경로당
수성구지회,범물청구타운경로당,대구광역시 수성구 지범로39길 12 ,35.8205654,128.6432113,경로당
수성구지회,범물영남타운경로당,대구광역시 수성구 용학로 316 ,35.82239201,128.6424391,경로당
수성구지회,범물공원경로당,대구광역시 수성구 지범로 232 ,35.81840614,128.6433581,경로당
수성구지회,범물2동경로당,대구광역시 수성구 지범로48길 14-1 ,35.8159786,128.6436213,경로당
수성구지회,범물맨션경로당,대구광역시 수성구 용학로 272 ,35.82017384,128.6375301,경로당
수성구지회,서한화성경로당,대구광역시 수성구 지범로40길 11 ,35.81837657,128.6412505,경로당
수성구지회,청아맨션경로당,대구광역시 수성구 범안로 40 ,35.81728611,128.6422876,경로당
수성구지회,신화맨션경로당,대구광역시 수성구 지범로40길 6 ,35.81853375,128.6400868,경로당
수성구지회,범물동서경로당,대구광역시 수성구 범안로 40 ,35.81728611,128.6422876,경로당
수성구지회,삼주타운경로당,대구광역시 수성구 범안로8길 35 ,35.815184,128.6417802,경로당
