학교명,소재지지번주소,위도,경도
대구국제고등학교,대구광역시 북구 국우동 77-1,35.95549553,128.581542
오성중학교,대구광역시 수성구 만촌동 1070,35.85447266,128.6447837
대구율원초등학교,대구광역시 동구 율하동 1468,35.86480807,128.7007398
대구북비산초등학교,대구광역시 서구 비산동 786-1,35.88154517,128.5645911
학남고등학교,대구광역시 북구 국우동 1080-1,35.946271,128.5691977
대구신월초등학교,대구광역시 달서구 월성동 1351,35.82056001,128.5224969
대구동호초등학교,대구광역시 동구 동호동 361,35.86535031,128.7204845
대구대산초등학교,대구광역시 북구 산격동 789-4,35.89611556,128.5931912
대구체육고등학교,대구광역시 북구 동호동 463-2,35.95879744,128.5577173
성지중학교,대구광역시 달서구 이곡동 1300-2,35.85336693,128.5146753
매천중학교,대구광역시 북구 태전동 1128,35.91048477,128.547327
경북여자상업고등학교,대구광역시 남구 대명동 1804-2,35.85494162,128.5887495
대구외국어고등학교,대구광역시 달서구 신당동 1675,35.860444,128.4980612
대구관음초등학교,대구광역시 북구 관음동 1340-1,35.93992241,128.5471138
대구이곡초등학교,대구광역시 달서구 이곡동 1304-4,35.85684549,128.5137308
대구성곡초등학교,대구광역시 달서구 이곡동 1306-5,35.85809784,128.5135151
대구왕선초등학교,대구광역시 달성군 다사읍 매곡리 1542,35.86319531,128.465206
화원중학교,대구광역시 달성군 화원읍 본리리 104-2,35.79899515,128.509593
효령중학교,대구광역시 군위군 효령면 중구리 355,36.15464034,128.5778532
성곡중학교,대구광역시 달서구 용산동 527,35.86181094,128.522943
성서고등학교,대구광역시 달서구 용산동 501-1,35.8598709,128.516192
대구화동초등학교,대구광역시 달성군 화원읍 본리리 104-1,35.79954584,128.5096929
대구남송초등학교,대구광역시 달서구 본동 275-1,35.83490796,128.5453631
부계중학교,대구광역시 군위군 부계면 춘산리 496,36.07957908,128.6548326
칠곡중학교,대구광역시 북구 읍내동 545,35.94817565,128.550746
대구동원초등학교,대구광역시 수성구 만촌동 934,35.86486801,128.6398865
의흥중학교,대구광역시 군위군 의흥면 읍내리 210-2,36.17476864,128.7211368
대구강북초등학교,대구광역시 북구 구암동 785-1,35.94086182,128.5667658
황금중학교,대구광역시 수성구 황금동 821,35.84414275,128.619483
학남중학교,대구광역시 북구 국우동 1085,35.94553027,128.570413
대구서부고등학교,대구광역시 서구 평리동 1070-48,35.87365309,128.5602007
대구대청초등학교,대구광역시 수성구 만촌동 873,35.85090611,128.6501674
대구관남초등학교,대구광역시 북구 관음동 1386-2,35.93683639,128.547778
강북중학교,대구광역시 북구 구암동 787-1,35.93870319,128.5648981
경화여자고등학교,대구광역시 달서구 성당동 670-29,35.84839511,128.5486078
대구고매초등학교,대구광역시 군위군 효령면 고곡리 929,36.09704449,128.582054
대구시지초등학교,대구광역시 수성구 매호동 1332-1,35.84378451,128.703147
대구대진초등학교,대구광역시 달서구 대곡동 1025,35.806662,128.5217068
대구삼덕초등학교,대구광역시 중구 삼덕동3가 316,35.86355823,128.6078444
영남공업고등학교,대구광역시 수성구 만촌동 1160-3,35.84842817,128.6469293
대구산격초등학교,대구광역시 북구 산격동 1409,35.89455113,128.6063966
영남고등학교,대구광역시 달서구 상인동 70,35.82076999,128.5363043
매천고등학교,대구광역시 북구 태전동 1127,35.91159433,128.5472371
청구고등학교,대구광역시 동구 신천동 850-6,35.86865525,128.6205716
강동중학교,대구광역시 동구 신서동 559,35.86694911,128.729474
경신고등학교,대구광역시 수성구 범어동 100-5,35.85548176,128.6375875
대구부계초등학교,대구광역시 군위군 부계면 창평리 897-1,36.10164233,128.6628172
대구성당초등학교,대구광역시 달서구 본리동 166-1,35.840506,128.5472902
대구교동초등학교,대구광역시 북구 읍내동 1305,35.94475315,128.549446
원화중학교,대구광역시 달서구 성당동 670-30,35.84830827,128.5491224
경북고등학교,대구광역시 수성구 황금동 9,35.84474469,128.6416344
대구진월초등학교,대구광역시 달서구 진천동 253-9,35.81090267,128.5282878
