,EMD_CD,EMD_KOR_NM,주유소,과학·기술,교육,보건의료,부동산,소매,수리·개인,숙박,시설관리·임대,예술·스포츠,음식,상업수
114,27260124,이천동,0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,9.0,19.0
115,27200102,봉덕동,2,187.0,65.0,13.0,81.0,482.0,277.0,15.0,77.0,64.0,565.0,1826.0
116,27200103,대명동,13,658.0,172.0,46.0,190.0,1422.0,765.0,43.0,232.0,166.0,1818.0,5512.0
117,27230101,칠성동1가,0,2.0,2.0,1.0,4.0,169.0,4.0,2.0,1.0,5.0,73.0,263.0
118,27230102,칠성동2가,1,66.0,34.0,3.0,16.0,467.0,92.0,7.0,24.0,34.0,272.0,1015.0
119,27230103,고성동1가,0,2.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,4.0,15.0
120,27230104,고성동2가,0,4.0,4.0,0.0,18.0,30.0,26.0,3.0,1.0,5.0,61.0,152.0
121,27230105,고성동3가,0,13.0,2.0,0.0,3.0,27.0,16.0,0.0,4.0,19.0,145.0,229.0
122,27230106,침산동,6,78.0,143.0,24.0,28.0,253.0,155.0,0.0,28.0,62.0,387.0,1158.0
123,27230107,노원동1가,1,55.0,6.0,0.0,6.0,36.0,25.0,1.0,10.0,13.0,122.0,274.0
124,27230108,노원동2가,1,12.0,1.0,3.0,8.0,54.0,32.0,4.0,10.0,11.0,105.0,240.0
125,27230109,노원동3가,6,38.0,6.0,4.0,28.0,174.0,95.0,5.0,21.0,12.0,164.0,547.0
126,27230110,대현동,2,47.0,23.0,7.0,32.0,152.0,92.0,12.0,39.0,32.0,292.0,728.0
127,27230111,산격동,12,221.0,60.0,18.0,50.0,1006.0,295.0,21.0,115.0,96.0,851.0,2733.0
128,27230112,복현동,4,52.0,53.0,9.0,42.0,190.0,132.0,25.0,15.0,73.0,401.0,992.0
129,27230113,검단동,0,14.0,3.0,1.0,11.0,47.0,30.0,0.0,7.0,2.0,60.0,175.0
130,27230114,동변동,0,23.0,11.0,0.0,5.0,59.0,40.0,0.0,8.0,21.0,84.0,251.0
131,27230115,서변동,3,61.0,24.0,2.0,25.0,142.0,67.0,0.0,20.0,29.0,165.0,535.0
132,27230116,조야동,0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,1.0,1.0,13.0,28.0
133,27230117,노곡동,0,3.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,1.0,10.0,25.0
134,27230118,읍내동,5,50.0,26.0,12.0,38.0,255.0,164.0,0.0,20.0,27.0,309.0,901.0
135,27230120,학정동,3,22.0,33.0,5.0,23.0,115.0,94.0,0.0,5.0,14.0,174.0,485.0
136,27230121,도남동,0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,8.0
137,27230122,국우동,1,19.0,22.0,5.0,9.0,67.0,44.0,0.0,7.0,13.0,119.0,305.0
138,27230123,구암동,2,47.0,45.0,8.0,17.0,207.0,150.0,0.0,27.0,51.0,392.0,944.0
139,27230124,동천동,2,33.0,113.0,34.0,20.0,271.0,145.0,11.0,19.0,115.0,492.0,1253.0
140,27230125,관음동,1,26.0,18.0,4.0,10.0,136.0,112.0,5.0,19.0,25.0,179.0,534.0
141,27230126,태전동,7,96.0,55.0,13.0,63.0,405.0,286.0,11.0,52.0,95.0,561.0,1637.0
142,27230127,매천동,3,6.0,11.0,0.0,6.0,68.0,37.0,0.0,5.0,15.0,89.0,237.0
143,27230128,팔달동,2,3.0,2.0,0.0,4.0,27.0,13.0,0.0,6.0,0.0,16.0,71.0
144,27230129,금호동,3,8.0,4.0,0.0,3.0,34.0,10.0,4.0,5.0,3.0,19.0,90.0
145,27230130,사수동,0,31.0,34.0,2.0,6.0,76.0,43.0,0.0,4.0,15.0,132.0,343.0
146,27230131,연경동,1,11.0,45.0,10.0,23.0,52.0,34.0,0.0,1.0,20.0,117.0,313.0
147,27260101,범어동,12,724.0,484.0,75.0,236.0,502.0,346.0,12.0,87.0,150.0,1089.0,3705.0
148,27260102,만촌동,24,220.0,216.0,26.0,91.0,482.0,292.0,7.0,73.0,78.0,515.0,2000.0
149,27260103,수성동1가,0,43.0,63.0,14.0,37.0,138.0,104.0,0.0,17.0,24.0,143.0,583.0
150,27260104,수성동2가,0,26.0,27.0,14.0,12.0,96.0,44.0,0.0,9.0,12.0,137.0,377.0
151,27260105,수성동3가,0,28.0,38.0,8.0,17.0,70.0,51.0,0.0,6.0,20.0,70.0,308.0
152,27260106,수성동4가,0,40.0,50.0,19.0,26.0,104.0,76.0,0.0,9.0,37.0,215.0,576.0
153,27260107,황금동,6,127.0,111.0,17.0,65.0,238.0,198.0,12.0,35.0,53.0,385.0,1241.0
154,27260108,중동,4,106.0,31.0,13.0,31.0,164.0,126.0,5.0,39.0,31.0,180.0,726.0
155,27260109,상동,10,131.0,58.0,1.0,52.0,210.0,171.0,6.0,35.0,33.0,232.0,929.0
156,27260110,파동,6,21.0,15.0,7.0,11.0,62.0,44.0,0.0,16.0,12.0,95.0,283.0
157,27260111,두산동,4,111.0,50.0,2.0,61.0,247.0,166.0,20.0,41.0,68.0,621.0,1387.0
158,27260112,지산동,10,192.0,129.0,31.0,70.0,426.0,330.0,2.0,67.0,106.0,585.0,1938.0
159,27260113,범물동,2,56.0,52.0,12.0,23.0,256.0,85.0,1.0,27.0,27.0,197.0,736.0
160,27260114,시지동,2,50.0,45.0,7.0,43.0,142.0,85.0,1.0,19.0,31.0,182.0,605.0
161,27260115,매호동,0,24.0,55.0,2.0,18.0,98.0,76.0,0.0,12.0,16.0,186.0,487.0
162,27260116,성동,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0
163,27260117,사월동,2,9.0,9.0,0.0,10.0,26.0,20.0,0.0,5.0,16.0,38.0,133.0
164,27260118,신매동,4,33.0,129.0,25.0,26.0,246.0,142.0,0.0,9.0,60.0,387.0,1057.0
165,27260119,욱수동,0,6.0,10.0,3.0,4.0,18.0,16.0,1.0,4.0,10.0,45.0,117.0
166,27260120,노변동,2,4.0,11.0,2.0,1.0,25.0,14.0,0.0,0.0,4.0,35.0,96.0
167,27260122,삼덕동,0,6.0,3.0,0.0,0.0,4.0,2.0,0.0,2.0,1.0,5.0,23.0
168,27260123,연호동,2,2.0,3.0,0.0,4.0,15.0,4.0,0.0,3.0,0.0,16.0,47.0
169,27260125,고모동,0,2.0,0.0,0.0,0.0,8.0,1.0,0.0,5.0,1.0,7.0,24.0
170,27260126,가천동,0,5.0,2.0,0.0,1.0,3.0,1.0,0.0,4.0,1.0,7.0,24.0
171,27260127,대흥동,0,60.0,11.0,1.0,10.0,34.0,4.0,3.0,8.0,11.0,38.0,180.0
