지도코드,지도_동,시,구,동,행정코드,총교통량,개인승용차교통량,버스교통량,화물차교통량,혼잡빈도강도,주유소_개수,LPG충전소_개수,인구밀도,혼잡시간강도,공시지가평균,공시지가중앙값,위도,경도,주유소_최솟값,주유소_최소3개평균,주유소_최소5개평균,lpg_최솟값,lpg_최소3개평균,lpg_최소5개평균,과학·기술,교육,보건의료,부동산,소매,수리·개인,숙박,시설관리·임대,예술·스포츠,음식,상업수,거리_최솟값,최소거리2개평균,입지선정지수
27110135,시장북로,대구광역시,중구,대신동,2201062,6078.0,5136.0,343.0,599.0,53.54,0,0,6153.16,69.04,1933800.0,1910000,35.8721149,128.5824413,793.9039289,856.3584694,1013.702752,1986.218338,2137.809553,2272.922261,3,3,1,1,12,9,3,0,0,8,40,2148.7772113082315,3024.3830900655425,-7046.326155999999
27260109,상동,대구광역시,수성구,상동,2206064,9313.0,7940.0,390.0,983.0,56.14,10,1,11048.87218,69.59,1818961.446,1635000,35.8321069,128.6154039,228.4524364,362.3548553,546.7071387,696.4604799,1164.494602,2035.233291,131,58,1,52,210,171,6,35,33,232,929,3563.817752508596,3980.6215091518825,-7045.587907357999
27170108,원대동2가,대구광역시,서구,원대동,2203068,8416.0,7047.0,386.0,984.0,45.82,0,0,16000.0,65.58,1259762.5,1136500,35.8842321,128.580025,280.9240674,505.7503437,643.4066762,743.1342282,1464.792989,2007.346104,11,2,0,0,10,7,0,2,1,24,57,3180.242315101872,3198.929839052792,-6981.137819999999
27170107,원대동1가,대구광역시,서구,원대동,2203068,8416.0,7047.0,386.0,984.0,45.82,1,0,16000.0,65.58,991616.129,916900,35.8816154,128.5768,132.9707129,440.9892953,658.5891988,818.1157077,1556.218782,2038.443267,11,2,0,8,45,22,0,1,2,42,133,3005.2785350245485,3092.583706000014,-6915.5198199999995
27170109,원대동3가,대구광역시,서구,원대동,2203068,8416.0,7047.0,386.0,984.0,45.82,0,0,16000.0,65.58,1085488.372,893100,35.8857237,128.5756375,355.6377595,400.0860289,496.9445543,357.8958173,1206.490901,1882.333355,8,6,2,9,62,26,3,9,7,81,213,2798.840049427253,3184.724063991744,-6887.919819999999
27290120,월성동,대구광역시,달서구,월성1동,2207062,6685.0,5388.0,314.0,983.0,54.86,3,1,3704.0,73.15,2055009.524,1992000,35.8195561,128.5228806,127.5292334,310.7132203,536.9903146,1082.769789,1601.094575,1744.847562,68,161,26,41,270,203,0,23,102,425,1319,4008.299526384929,6020.095924325822,-6870.3822
27200101,이천동,대구광역시,남구,이천동,2204051,8397.0,7235.0,229.0,933.0,62.22,1,1,11698.16514,72.46,1441220.588,1383000,35.8537107,128.5994252,461.967204,551.3193964,650.5864047,969.5835486,1405.221634,1731.340945,57,27,3,14,116,67,1,19,18,121,443,1048.8056443054932,3062.912077207519,-6854.667554733999
27260105,수성동3가,대구광역시,수성구,수성2·3가동,2206059,6313.0,5367.0,254.0,693.0,46.62,0,0,18151.0,65.4,3231846.154,2704500,35.8548528,128.618988,717.1755194,1005.915712,1120.189507,989.3614752,1326.628815,1461.016284,28,38,8,17,70,51,0,6,20,70,308,1668.0844471290422,2488.843751340161,-6832.416899999999
27290114,본리동,대구광역시,달서구,본리동,2207056,8450.0,6973.0,347.0,1130.0,46.29,5,1,18329.3578,65.95,1673238.776,1438000,35.8409942,128.5431592,541.8437874,576.4507144,640.3889865,611.9037739,924.4032834,1162.593988,40,22,8,38,152,81,9,22,46,237,655,4800.732379100526,5101.8025102796655,-6827.673565180001
27140120,율암동,대구광역시,동구,안심2동,2202074,12335.0,9386.0,385.0,2565.0,58.9,1,0,810.0,67.19,1208397.436,1065000,35.8803987,128.7044625,1584.425685,1584.425685,1584.425685,2394.243047,2981.495708,3754.597108,3,0,2,0,18,7,0,2,0,8,40,2420.0652354751696,3844.332805115251,-6744.10986
